id,name,size,serving_per_bag,calorie,carbohydrate,protein,fat,saturated fat,trans fat,sodium,sugar,含麩質之穀物及其製品,堅果類、種子類及其製品,大豆及其製品,奇異果及其製品,牛奶、羊奶及其製品,甲殼類及其製品(蝦類、蟹類),芒果及其製品,芝麻及其製品,花生及其製品,蛋類及其製品,軟體動物類及其製品(頭足類、螺貝類),魚類及其製品
383459,大滿足麻醬涼麵,414,1,696,85.3,19.5,30.6,4.6,0,1076,9.1,1,0,1,0,0,0,0,1,1,1,0,0
383463,大滿足香辣涼麵,417,1,692,83.4,19.2,31.3,5,0,959,5,1,0,1,0,0,0,0,1,1,1,0,0
383477,日式蕎麥沾麵,251,1,339,64,13.3,3.3,1,0,944,8.3,1,0,1,0,0,0,0,0,0,1,0,1
383481,胡麻讚岐烏龍冷麵,247,1,361,60.3,7.2,10.1,2.2,0,598,5.4,1,0,1,0,0,0,0,1,0,1,0,1
383495,椒麻香蔥涼拌麵,224,1,457,56.4,13.7,19.7,3.1,0,977,5.8,1,0,1,0,0,0,0,1,0,1,0,0
395494,獵人雞肉丸子茄汁鉛筆麵,346,1,675,69.9,29.4,30.8,13.8,0,1592,5.2,1,0,1,0,1,0,0,0,0,1,0,0
399193,日式豬排佐咖哩歐姆蛋燴飯,491,1,771,101.6,31.4,26.5,5.4,0,1463,3.9,1,0,1,0,1,0,0,1,1,1,0,0
399393,香草雞排佐白醬歐姆蛋燴飯,476,1,695,88.1,30,24.8,5.2,0,1795,2.9,1,0,1,0,1,0,0,0,0,1,0,0
399402,炙烤親子丼,488,1,722,106.4,26.8,21,3.9,0,1488,9.8,1,0,1,0,1,0,0,1,0,1,0,1
426594,鮮筍雞茸粥,500,1,312,41.5,9.5,12,2,0,1675,3.5,1,0,1,0,0,1,0,0,0,0,0,0
426908,炭香燒豚飯,351,1,534,76.5,15.4,18.3,7.4,0,849,8.1,1,0,1,0,1,1,0,1,0,1,0,1
448045,蕃茄鮪魚冷義大利麵,304,1,301,45.9,14.3,6.7,2.1,0,821,7.3,1,0,1,0,1,0,0,0,0,1,0,1
448059,羅勒海鮮冷義大利麵,246,1,312,41.8,12.8,10.3,2.2,0,645,7.4,1,0,1,0,1,1,0,0,1,0,0,1
